"original_neurosynth_functional_term","new_neurosynth_functional_term","new_neuroquery_functional_term"
"abuse","abuse","abuse"
"acoustic","acoustic","acoustic"
"act","action","action"
"action","action","action"
"actions","action","action"
"acts","action","action"
"adaptation","adaptation","adaptation"
"addiction","addiction","addiction"
"adhd","adhd","adhd"
"affect","affect","affect"
"affective","affect","affect"
"alzheimer","alzheimer","alzheimer"
"alzheimer.disease","alzheimer","alzheimer"
"amnestic","amnestic","amnestic"
"anger","anger","anger"
"angry","anger","anger"
"anticipation","anticipation","anticipation"
"anticipatory","anticipation","anticipation"
"anxiety","anxiety","anxiety"
"anxiety.disorders","anxiety","anxiety"
"aphasia","aphasia","aphasia"
"appraisal","appraisal","appraisal"
"arithmetic","arithmetic","arithmetic"
"arm","arm","arm"
"arousal","arousal","arousal"
"articulatory","speech","speech"
"attend","attention","attention"
"attended","attention","attention"
"attending","attention","attention"
"attention","attention","attention"
"attention.deficit","adhd","adhd"
"attention.network","attention","attention"
"attention.task","attention","attention"
"attentional","attention","attention"
"attentional.control","attention","attention"
"audiovisual","audiovisual","audiovisual"
"auditory","auditory","auditory"
"auditory.stimuli","auditory","auditory"
"auditory.visual","audiovisual","audiovisual"
"autism","autism","autism"
"autism.spectrum","autism","autism"
"autobiographical","autobiographical","autobiographical"
"autobiographical.memory","autobiographical","autobiographical"
"autonomic","autonomic","autonomic"
"aversive","aversive","aversive"
"avoid","avoidance","avoidance"
"avoidance","avoidance","avoidance"
"awareness","awareness","awareness"
"balance","balance","balance"
"belief","belief","belief"
"beliefs","belief","belief"
"bilinguals","bilingual","lingual"
"bipolar","bipolar","bipolar"
"bipolar.disorder","bipolar","bipolar"
"blind","blind","blind"
"bodily","body","body"
"body","body","body"
"calculation","calculation","calculation"
"categorical","categorization","categorization"
"categories","categorization","categorization"
"categorization","categorization","categorization"
"category","categorization","categorization"
"character","character","character"
"characters","character","character"
"choice","choice","choice"
"choices","choice","choice"
"choose","choice","choice"
"chosen","choice","choice"
"chronic.pain","pain","pain"
"cognition","cognition","cognition"
"cognitive","cognition","cognition"
"cognitive.control","cognition","cognition"
"cognitive.deficits","cognition","cognition"
"cognitive.function","cognition","cognition"
"cognitive.functions","cognition","cognition"
"cognitive.impairment","cognition","cognition"
"cognitive.performance","cognition","cognition"
"cognitive.processes","cognition","cognition"
"cognitive.task","cognition","cognition"
"cognitive.tasks","cognition","cognition"
"cognitively","cognition","cognition"
"color","color","color"
"communication","communication","communication"
"competing","competition","competition"
"competition","competition","competition"
"complex","complexity","complexity"
"complexity","complexity","complexity"
"comprehension","comprehension","comprehension"
"compulsive","compulsive","compulsive"
"compulsive.disorder","compulsive","compulsive"
"computation","computation","computation"
"concentration","concentration","concentration"
"concept","concept","concept"
"concepts","concept","concept"
"conceptual","concept","concept"
"conditioning","condition","condition"
"confidence","confidence","confidence"
"conflict","conflict","conflict"
"conflicting","conflict","conflict"
"conscious","consciousness","consciousness"
"consciousness","consciousness","consciousness"
"consolidation","consolidation","consolidation"
"construction","construction","construction"
"consumption","consumption","consumption"
"context","context","context"
"contexts","context","context"
"contextual","context","context"
"control","control","control"
"control.network","control","control"
"control.processes","control","control"
"control.task","control","control"
"controlled","control","control"
"controlling","control","control"
"controls","control","control"
"coordination","coordination","coordination"
"covert","covert","covert"
"cue","cue","cue"
"cued","cue","cue"
"cues","cue","cue"
"damage","damage","damage"
"decision","decision","decision"
"decision.making","decision","decision"
"decision.task","decision","decision"
"decisions","decision","decision"
"decoding","decode","decoding"
"default","default","default"
"default.mode","default","default"
"deficient","deficit","deficit"
"deficit","deficit","deficit"
"deficit.hyperactivity","deficit","deficit"
"deficits","deficit","deficit"
"delay","delay","delay"
"delayed","delay","delay"
"demand","demand","demand"
"demanding","demand","demand"
"demands","demand","demand"
"dementia","dementia","dementia"
"depressed","depression","depression"
"depression","depression","depression"
"depressive","depression","depression"
"depressive.disorder","depression","depression"
"deprivation","deprivation","deprivation"
"depth","depth","depth"
"detect","detection","detection"
"detected","detection","detection"
"detecting","detection","detection"
"detection","detection","detection"
"detection.task","detection","detection"
"development","development","development"
"developmental","development","development"
"diagnosis","diagnosis","diagnosis"
"digit","digit","digit"
"disability","disability","disability"
"discriminate","discriminate","discriminate"
"discriminated","discriminate","discriminate"
"discrimination","discriminate","discriminate"
"discrimination.task","discriminate","discriminate"
"discriminative","discriminate","discriminate"
"disgust","disgust","disgust"
"disorder.ocd","ocd","ocd"
"disorder.ptsd","stress","stress"
"distraction","distraction","distraction"
"distractor","distraction","distraction"
"distractors","distraction","distraction"
"dominance","dominance","dominance"
"dominant","dominance","dominance"
"dyslexia","dyslexia","dyslexia"
"early.visual","vision","vision"
"eating","eat","eating"
"economic","economic","economic"
"efficiency","efficiency","efficiency"
"effort","effort","effort"
"effortful","effort","effort"
"emotion.regulation","emotion","emotion"
"emotional","emotion","emotion"
"emotional.faces","emotion","emotion"
"emotional.information","emotion","emotion"
"emotional.responses","emotion","emotion"
"emotional.stimuli","emotion","emotion"
"emotional.valence","emotion","emotion"
"emotionally","emotion","emotion"
"emotions","emotion","emotion"
"empathic","empathy","empathy"
"empathy","empathy","empathy"
"encode","encode","encode"
"encoded","encode","encode"
"encoding","encode","encode"
"encoding.retrieval","decode","decoding"
"engagement","engagement","engagement"
"english","english","english"
"epilepsy","epilepsy","epilepsy"
"episodic","episodic","episodic"
"episodic.memory","episodic","episodic"
"error","error","error"
"errors","error","error"
"evaluation","evaluation","evaluation"
"evaluations","evaluation","evaluation"
"events","events","events"
"executed","execution","execution"
"execution","execution","execution"
"expectancy","expectation","expectation"
"expectation","expectation","expectation"
"expectations","expectation","expectation"
"experience","experience","experience"
"experiences","experience","experience"
"experiencing","experience","experience"
"expertise","expertise","expertise"
"exploration","exploration","exploration"
"exploratory","exploration","exploration"
"eye","eye","eye"
"eye.movement","eye","eye"
"eyes","eye","eye"
"face","face","face"
"face.recognition","face","face"
"faces","face","face"
"facial","face","face"
"facial.expression","face","face"
"familiar","familiarity","familiarity"
"familiarity","familiarity","familiarity"
"family","family","family"
"fear","fear","fear"
"fearful","fear","fear"
"fearful.faces","fear","fear"
"feature","feature","feature"
"features","feature","feature"
"feeling","feel","feeling"
"finger","finger","finger"
"finger.movements","finger","finger"
"finger.tapping","finger","finger"
"fixation","fixation","fixation"
"flexibility","flexibility","flexibility"
"fluency","fluency","fluency"
"focus","focus","focus"
"food","food","food"
"foot","foot","foot"
"force","force","force"
"gain","gain","gain"
"gains","gain","gain"
"gambling","gamble","gambling"
"game","game","game"
"gaze","gaze","gaze"
"german","german","german"
"gestures","gestures","gestures"
"goal","goal","goal"
"goal.directed","goal","goal"
"goals","goal","goal"
"grasping","grasp","grasp"
"hand","hand","hand"
"hand.movements","hand","hand"
"handedness","handedness","handedness"
"hands","hand","hand"
"happy","happy","happy"
"happy.faces","happy","happy"
"head","head","head"
"health","health","health"
"heard","hear","hearing"
"hearing","hear","hearing"
"heart","heart","heart"
"heart.rate","heart","heart"
"illusion","illusion","illusion"
"image","image","image"
"imagery","imagery","imagery"
"images","image","image"
"imagine","imagine","imagine"
"imagined","imagine","imagine"
"imitation","imitation","imitation"
"implicit","implicit","implicit"
"impulsivity","impulsivity","impulsivity"
"incentive","incentive","incentive"
"incentive.delay","incentive","incentive"
"incorrect","incorrect","incorrect"
"index.finger","finger","finger"
"induction","induction","induction"
"inference","inference","inference"
"inferences","inference","inference"
"instruction","instruction","instruction"
"instructions","instruction","instruction"
"integrate","integration","integration"
"integrated","integration","integration"
"integrating","integration","integration"
"integration","integration","integration"
"integrative","integration","integration"
"integrity","integrity","integrity"
"intelligence","intelligence","intelligence"
"intense","intensity","intensity"
"intensity","intensity","intensity"
"intention","intention","intention"
"intentional","intentional","intentional"
"intentions","intention","intention"
"interaction","interaction","interaction"
"interactions","interaction","interaction"
"interactive","interactive","interactive"
"interference","interference","interference"
"interoceptive","interoception","interoception"
"interpersonal","interpersonal","interpersonal"
"item","item","item"
"items","item","item"
"judgment","judgment","judgment"
"judgment.task","judgment","judgment"
"judgments","judgment","judgment"
"knowledge","knowledge","knowledge"
"language","language","language"
"language.comprehension","language","language"
"language.network","language","language"
"languages","language","language"
"learn","learn","learn"
"learning","learn","learn"
"learning.task","learn","learn"
"letter","letter","letter"
"letters","letter","letter"
"lexical","lexical","lexical"
"lexical.decision","lexical","lexical"
"light","light","light"
"limb","limb","limb"
"linguistic","linguistic","linguistic"
"listened","listen","listening"
"listening","listen","listening"
"location","location","location"
"locations","location","location"
"loss","loss","loss"
"losses","loss","loss"
"maintenance","maintenance","maintenance"
"major.depression","depression","depression"
"manipulation","manipulation","manipulation"
"manipulations","manipulation","manipulation"
"match","match","match"
"matching","match","match"
"matching.task","match","match"
"memories","memory","memory"
"memory","memory","memory"
"memory.encoding","memory","memory"
"memory.load","memory","memory"
"memory.performance","memory","memory"
"memory.processes","memory","memory"
"memory.retrieval","memory","memory"
"memory.task","memory","memory"
"memory.test","memory","memory"
"memory.wm","memory","memory"
"mental.imagery","imagery","imagery"
"mentalizing","mentalize","mentalizing"
"mild.cognitive","cognition","cognition"
"mind","mind","mind"
"mind.tom","mind","mind"
"mirror","mirror","mirror"
"mnemonic","mnemonic","mnemonic"
"modulatory","modulatory","modulatory"
"monetary","monetary","monetary"
"monetary.incentive","monetary","monetary"
"monetary.reward","monetary","monetary"
"money","monetary","monetary"
"mood","mood","mood"
"moral","moral","moral"
"motion","motion","motion"
"motivation","motivation","motivation"
"motivational","motivation","motivation"
"motor","motor","motor"
"motor.control","motor","motor"
"motor.function","motor","motor"
"motor.imagery","motor","motor"
"motor.performance","motor","motor"
"motor.response","motor","motor"
"motor.task","motor","motor"
"movement","movement","movement"
"movements","movement","movement"
"multiple.sclerosis","sclerosis","sclerosis"
"multisensory","multisensory","multisensory"
"muscle","muscle","muscle"
"music","music","music"
"musical","music","music"
"musicians","music","music"
"naming","name","name"
"navigation","navigation","navigation"
"negative","negative","negative"
"negative.affect","affect","affect"
"negative.emotions","negative","negative"
"negative.feedback","negative","negative"
"negativity","negative","negative"
"neutral","neutral","neutral"
"neutral.faces","neutral","neutral"
"neutral.pictures","neutral","neutral"
"neutral.stimuli","neutral","neutral"
"nociceptive","nociceptive","nociceptive"
"noise","noise","noise"
"nouns","nouns","nouns"
"novel","novelty","novelty"
"novelty","novelty","novelty"
"noxious","noxious","noxious"
"object","object","object"
"object.recognition","object","object"
"objects","object","object"
"obsessive","obsessive","obsessive"
"obsessive.compulsive","ocd","ocd"
"ocd","ocd","ocd"
"olfactory","olfactory","olfactory"
"oral","oral","oral"
"organization","organization","organization"
"orientation","orientation","orientation"
"oriented","orientation","orientation"
"orienting","orientation","orientation"
"orthographic","orthographic","orthographic"
"pain","pain","pain"
"painful","pain","pain"
"parkinson","parkinson","parkinson"
"parkinson.disease","parkinson","parkinson"
"passive","passive","passive"
"passive.viewing","passive","passive"
"perceiving","perception","perception"
"percept","perception","perception"
"perception","perception","perception"
"perceptual","perception","perception"
"performance","performance","performance"
"performance.task","performance","performance"
"person","person","person"
"personal","personal","personal"
"personality","personality","personality"
"personality.traits","personality","personality"
"persons","person","person"
"phonological","phonological","phonological"
"photographs","photographs","photographs"
"picture","picture","picture"
"pictures","picture","picture"
"pitch","pitch","pitch"
"place","place","place"
"placebo","placebo","placebo"
"placebo.controlled","placebo","placebo"
"planning","plan","planning"
"pleasant","pleasant","pleasant"
"prediction","prediction","prediction"
"prediction.error","prediction","prediction"
"predictions","prediction","prediction"
"predictive","prediction","prediction"
"preference","preference","preference"
"preferences","preference","preference"
"preparation","preparation","preparation"
"preparatory","preparation","preparation"
"pressure","pressure","pressure"
"prime","prime","prime"
"priming","prime","prime"
"probabilistic","probabilistic","probabilistic"
"probability","probabilistic","probabilistic"
"production","production","production"
"prospective","prospective","prospective"
"psychotic","psychotic","psychotic"
"ptsd","ptsd","ptsd"
"punishment","punishment","punishment"
"rating","rate","rate"
"reaching","reach","reaching"
"reaction","reaction","reaction"
"reaction.time","reaction","reaction"
"reactions","reaction","reaction"
"reactivity","reaction","reaction"
"read","read","read"
"reading","read","read"
"real.world","real","real"
"reappraisal","reappraisal","reappraisal"
"reasoning","reason","reasoning"
"recall","recall","recall"
"recognition","recognition","recognition"
"recognition.memory","recognition","recognition"
"recognition.task","recognition","recognition"
"recognize","recognition","recognition"
"recognized","recognition","recognition"
"recognizing","recognition","recognition"
"recollection","recollection","recollection"
"reference","reference","reference"
"referential","reference","reference"
"referential","referential","referential"
"referred","reference","reference"
"regulate","regulation","regulation"
"regulating","regulation","regulation"
"regulation","regulation","regulation"
"regulatory","regulation","regulation"
"rehabilitation","rehabilitation","rehabilitation"
"rehearsal","rehearsal","rehearsal"
"reinforcement","reinforcement","reinforcement"
"reinforcement.learning","reinforcement","reinforcement"
"relational","relational","relational"
"remember","remember","remember"
"remembered","remember","remember"
"remembering","remember","remember"
"reorganization","reorganization","reorganization"
"repetition","repetition","repetition"
"repetition.suppression","repetition","repetition"
"response.inhibition","response","response"
"response.selection","response","response"
"response.time","response","response"
"rest","rest","rest"
"resting","rest","rest"
"resting.state","rest","rest"
"retention","retention","retention"
"retrieval","retrieval","retrieval"
"retrieved","retrieval","retrieval"
"reward","reward","reward"
"reward.anticipation","reward","reward"
"rewarding","reward","reward"
"rewards","reward","reward"
"rhythm","rhythm","rhythm"
"risk","risk","risk"
"risk.taking","risk","risk"
"risky","risk","risk"
"rotation","rotation","rotation"
"saccade","saccade","saccade"
"saccades","saccade","saccade"
"sad","sad","sad"
"schizophrenia","schizophrenia","schizophrenia"
"schizophrenic","schizophrenia","schizophrenia"
"sclerosis","sclerosis","sclerosis"
"selection","selection","selection"
"selective","selection","selection"
"selective.attention","attention","attention"
"self.referential","referential","referential"
"self.report","report","report"
"semantic","semantic","semantic"
"semantic.memory","semantic","semantic"
"semantically","semantic","semantic"
"semantics","semantic","semantic"
"sensation","sensation","sensation"
"sensations","sensation","sensation"
"sensitivity","sensitivity","sensitivity"
"sensorimotor","sensorimotor","sensorimotor"
"sensorimotor.network","sensorimotor","sensorimotor"
"sensory","sensory","sensory"
"sensory.information","sensory","sensory"
"sentence","sentence","sentence"
"sentence.comprehension","sentence","sentence"
"sentences","sentence","sentence"
"separation","separation","separation"
"sequence","sequence","sequence"
"sequences","sequence","sequence"
"sequential","sequence","sequence"
"serial","serial","serial"
"sex","sex","sex"
"sexual","sex","sex"
"shapes","shapes","shapes"
"shifting","shift","shift"
"sighted","sight","sight"
"signal.task","signal","signal"
"similarity","similarity","similarity"
"simulation","simulation","simulation"
"size","size","size"
"sizes","size","size"
"skin","skin","skin"
"skin.conductance","skin","skin"
"sleep","sleep","sleep"
"social","social","social"
"social.cognition","social","social"
"social.cognitive","social","social"
"social.interaction","social","social"
"socially","social","social"
"solving","solve","solving"
"sound","sound","sound"
"sounds","sound","sound"
"space","spatial","spatial"
"spatial","spatial","spatial"
"spatial.attention","spatial","spatial"
"spatial.information","spatial","spatial"
"spatial.temporal","spatiotemporal","spatiotemporal"
"spatially","spatial","spatial"
"spatiotemporal","spatiotemporal","spatiotemporal"
"speaker","speaker","speaker"
"speakers","speaker","speaker"
"speaking","speak","speaking"
"spectrum","spectrum","spectrum"
"spectrum.disorder","spectrum","spectrum"
"speech","speech","speech"
"speech.perception","speech","speech"
"speech.production","speech","speech"
"spoken","spoken","spoken"
"spontaneous","spontaneous","spontaneous"
"storage","storage","storage"
"strategic","strategy","strategy"
"strategies","strategy","strategy"
"strategy","strategy","strategy"
"stress","stress","stress"
"stress.disorder","stress","stress"
"stroop","stroop","stroop"
"stroop.task","stroop","stroop"
"subsequent.memory","memory","memory"
"substance","substance","substance"
"subtraction","subtraction","subtraction"
"success","success","success"
"suffering","suffer","suffering"
"suppressed","suppression","suppression"
"suppression","suppression","suppression"
"sustained","sustained","sustained"
"sustained.attention","sustained","sustained"
"symbolic","symbolic","symbolic"
"syntactic","syntactic","syntactic"
"tactile","tactile","tactile"
"tapping","tap","tapping"
"target","target","target"
"target.detection","target","target"
"targets","target","target"
"task","task","task"
"task.demands","task","task"
"task.difficulty","task","task"
"task.positive","task","task"
"task.relevant","task","task"
"tasks","task","task"
"taste","taste","taste"
"thinking","think","thinking"
"thought","thought","thought"
"thoughts","thought","thought"
"time.task","task","task"
"timing","time","time"
"tone","tone","tone"
"touch","touch","touch"
"track","track","track"
"tracking","track","track"
"trait","trait","trait"
"traits","trait","trait"
"unpleasant","unpleasant","unpleasant"
"updating","update","updating"
"valence","valence","valence"
"value","value","value"
"values","value","value"
"verb","verb","verb"
"verbal","verbal","verbal"
"verbal.fluency","verbal","verbal"
"verbal.working","verbal","verbal"
"verbs","verb","verb"
"video","video","video"
"video.clips","video","video"
"videos","video","video"
"viewing","view","viewing"
"violations","violations","violations"
"virtual","virtual","virtual"
"vision","vision","vision"
"vision","visual","visual"
"visual","visual","visual"
"visual.attention","visual","visual"
"visual.field","visual","visual"
"visual.information","visual","visual"
"visual.motion","visual","visual"
"visual.perception","visual","visual"
"visual.stimuli","visual","visual"
"visual.stimulus","visual","visual"
"visual.stream","visual","visual"
"visual.word","visual","visual"
"visually","visual","visual"
"visually.presented","visual","visual"
"visuo","visual","visual"
"visuo.spatial","visuospatial","visuospatial"
"visuomotor","visuomotor","visuomotor"
"visuospatial","visuospatial","visuospatial"
"vocal","voice","voice"
"voice","voice","voice"
"watching","watch","watching"
"word","word","word"
"word.form","word","word"
"word.pairs","word","word"
"word.recognition","word","word"
"words","word","word"
"working","work","work"
"working.memory","memory","memory"
"written","write","write"
