original_functional_term,new_functional_term
abuse,abuse
acoustic,acoustic
act,action
action,action
actions,action
acts,action
adaptation,adaptation
addiction,addiction
adhd,adhd
affect,affect
affective,affect
alzheimer,alzheimer
alzheimer.disease,alzheimer
amnestic,amnestic
anger,anger
angry,anger
anticipation,anticipation
anticipatory,anticipation
anxiety,anxiety
anxiety.disorders,anxiety
aphasia,aphasia
appraisal,appraisal
arithmetic,arithmetic
arm,arm
arousal,arousal
articulatory,speech
attend,attention
attended,attention
attending,attention
attention,attention
attention.deficit,adhd
attention.network,attention
attention.task,attention
attentional,attention
attentional.control,attention
audiovisual,audiovisual
auditory,auditory
auditory.stimuli,auditory
auditory.visual,audiovisual
autism,autism
autism.spectrum,autism
autobiographical,autobiographical
autobiographical.memory,autobiographical
autonomic,autonomic
aversive,aversive
avoid,avoidance
avoidance,avoidance
awareness,awareness
balance,balance
belief,belief
beliefs,belief
bilinguals,bilingual
bipolar,bipolar
bipolar.disorder,bipolar
blind,blind
bodily,body
body,body
calculation,calculation
categorical,categorization
categories,categorization
categorization,categorization
category,categorization
character,character
characters,character
choice,choice
choices,choice
choose,choice
chosen,choice
chronic.pain,pain
cognition,cognition
cognitive,cognition
cognitive.control,cognition
cognitive.deficits,cognition
cognitive.function,cognition
cognitive.functions,cognition
cognitive.impairment,cognition
cognitive.performance,cognition
cognitive.processes,cognition
cognitive.task,cognition
cognitive.tasks,cognition
cognitively,cognition
color,color
communication,communication
competing,competition
competition,competition
complex,complexity
complexity,complexity
comprehension,comprehension
compulsive,compulsive
compulsive.disorder,compulsive
computation,computation
concentration,concentration
concept,concept
concepts,concept
conceptual,concept
conditioning,condition
confidence,confidence
conflict,conflict
conflicting,conflict
conscious,consciousness
consciousness,consciousness
consolidation,consolidation
construction,construction
consumption,consumption
context,context
contexts,context
contextual,context
control,control
control.network,control
control.processes,control
control.task,control
controlled,control
controlling,control
controls,control
coordination,coordination
covert,covert
cue,cue
cued,cue
cues,cue
damage,damage
decision,decision
decision.making,decision
decision.task,decision
decisions,decision
decoding,decode
default,default
default.mode,default
deficient,deficit
deficit,deficit
deficit.hyperactivity,deficit
deficits,deficit
delay,delay
delayed,delay
demand,demand
demanding,demand
demands,demand
dementia,dementia
depressed,depression
depression,depression
depressive,depression
depressive.disorder,depression
deprivation,deprivation
depth,depth
detect,detection
detected,detection
detecting,detection
detection,detection
detection.task,detection
development,development
developmental,development
diagnosis,diagnosis
digit,digit
disability,disability
discriminate,discriminate
discriminated,discriminate
discrimination,discriminate
discrimination.task,discriminate
discriminative,discriminate
disgust,disgust
disorder.ocd,ocd
disorder.ptsd,stress
distraction,distraction
distractor,distraction
distractors,distraction
dominance,dominance
dominant,dominance
dyslexia,dyslexia
early.visual,vision
eating,eat
economic,economic
efficiency,efficiency
effort,effort
effortful,effort
emotion.regulation,emotion
emotional,emotion
emotional.faces,emotion
emotional.information,emotion
emotional.responses,emotion
emotional.stimuli,emotion
emotional.valence,emotion
emotionally,emotion
emotions,emotion
empathic,empathy
empathy,empathy
encode,encode
encoded,encode
encoding,encode
encoding.retrieval,decode
engagement,engagement
english,english
epilepsy,epilepsy
episodic,episodic
episodic.memory,episodic
error,error
errors,error
evaluation,evaluation
evaluations,evaluation
events,events
executed,execution
execution,execution
expectancy,expectation
expectation,expectation
expectations,expectation
experience,experience
experiences,experience
experiencing,experience
expertise,expertise
exploration,exploration
exploratory,exploration
eye,eye
eye.movement,eye
eyes,eye
face,face
face.recognition,face
faces,face
facial,face
facial.expression,face
familiar,familiarity
familiarity,familiarity
family,family
fear,fear
fearful,fear
fearful.faces,fear
feature,feature
features,feature
feeling,feel
finger,finger
finger.movements,finger
finger.tapping,finger
fixation,fixation
flexibility,flexibility
fluency,fluency
focus,focus
food,food
foot,foot
force,force
gain,gain
gains,gain
gambling,gamble
game,game
gaze,gaze
german,german
gestures,gestures
goal,goal
goal.directed,goal
goals,goal
grasping,grasp
hand,hand
hand.movements,hand
handedness,handedness
hands,hand
happy,happy
happy.faces,happy
head,head
health,health
heard,hear
hearing,hear
heart,heart
heart.rate,heart
illusion,illusion
image,image
imagery,imagery
images,image
imagine,imagine
imagined,imagine
imitation,imitation
implicit,implicit
impulsivity,impulsivity
incentive,incentive
incentive.delay,incentive
incorrect,incorrect
index.finger,finger
induction,induction
inference,inference
inferences,inference
instruction,instruction
instructions,instruction
integrate,integration
integrated,integration
integrating,integration
integration,integration
integrative,integration
integrity,integrity
intelligence,intelligence
intense,intensity
intensity,intensity
intention,intention
intentional,intentional
intentions,intention
interaction,interaction
interactions,interaction
interactive,interactive
interference,interference
interoceptive,interoception
interpersonal,interpersonal
item,item
items,item
judgment,judgment
judgment.task,judgment
judgments,judgment
knowledge,knowledge
language,language
language.comprehension,language
language.network,language
languages,language
learn,learn
learning,learn
learning.task,learn
letter,letter
letters,letter
lexical,lexical
lexical.decision,lexical
light,light
limb,limb
linguistic,linguistic
listened,listen
listening,listen
location,location
locations,location
loss,loss
losses,loss
maintenance,maintenance
major.depression,depression
manipulation,manipulation
manipulations,manipulation
match,match
matching,match
matching.task,match
memories,memory
memory,memory
memory.encoding,memory
memory.load,memory
memory.performance,memory
memory.processes,memory
memory.retrieval,memory
memory.task,memory
memory.test,memory
memory.wm,memory
mental.imagery,imagery
mentalizing,mentalize
mild.cognitive,cognition
mind,mind
mind.tom,mind
mirror,mirror
mnemonic,mnemonic
modulatory,modulatory
monetary,monetary
monetary.incentive,monetary
monetary.reward,monetary
money,monetary
mood,mood
moral,moral
motion,motion
motivation,motivation
motivational,motivation
motor,motor
motor.control,motor
motor.function,motor
motor.imagery,motor
motor.performance,motor
motor.response,motor
motor.task,motor
movement,movement
movements,movement
multiple.sclerosis,sclerosis
multisensory,multisensory
muscle,muscle
music,music
musical,music
musicians,music
naming,name
navigation,navigation
negative,negative
negative.affect,affect
negative.emotions,negative
negative.feedback,negative
negativity,negative
neutral,neutral
neutral.faces,neutral
neutral.pictures,neutral
neutral.stimuli,neutral
nociceptive,nociceptive
noise,noise
nouns,nouns
novel,novelty
novelty,novelty
noxious,noxious
object,object
object.recognition,object
objects,object
obsessive,obsessive
obsessive.compulsive,ocd
ocd,ocd
olfactory,olfactory
oral,oral
organization,organization
orientation,orientation
oriented,orientation
orienting,orientation
orthographic,orthographic
pain,pain
painful,pain
parkinson,parkinson
parkinson.disease,parkinson
passive,passive
passive.viewing,passive
perceiving,perception
percept,perception
perception,perception
perceptual,perception
performance,performance
performance.task,performance
person,person
personal,personal
personality,personality
personality.traits,personality
persons,person
phonological,phonological
photographs,photographs
picture,picture
pictures,picture
pitch,pitch
place,place
placebo,placebo
placebo.controlled,placebo
planning,plan
pleasant,pleasant
prediction,prediction
prediction.error,prediction
predictions,prediction
predictive,prediction
preference,preference
preferences,preference
preparation,preparation
preparatory,preparation
pressure,pressure
prime,prime
priming,prime
probabilistic,probabilistic
probability,probabilistic
production,production
prospective,prospective
psychotic,psychotic
ptsd,ptsd
punishment,punishment
rating,rate
reaching,reach
reaction,reaction
reaction.time,reaction
reactions,reaction
reactivity,reaction
read,read
reading,read
real.world,real
reappraisal,reappraisal
reasoning,reason
recall,recall
recognition,recognition
recognition.memory,recognition
recognition.task,recognition
recognize,recognition
recognized,recognition
recognizing,recognition
recollection,recollection
reference,reference
referential,reference
referential,referential
referred,reference
regulate,regulation
regulating,regulation
regulation,regulation
regulatory,regulation
rehabilitation,rehabilitation
rehearsal,rehearsal
reinforcement,reinforcement
reinforcement.learning,reinforcement
relational,relational
remember,remember
remembered,remember
remembering,remember
reorganization,reorganization
repetition,repetition
repetition.suppression,repetition
response.inhibition,response
response.selection,response
response.time,response
rest,rest
resting,rest
resting.state,rest
retention,retention
retrieval,retrieval
retrieved,retrieval
reward,reward
reward.anticipation,reward
rewarding,reward
rewards,reward
rhythm,rhythm
risk,risk
risk.taking,risk
risky,risk
rotation,rotation
saccade,saccade
saccades,saccade
sad,sad
schizophrenia,schizophrenia
schizophrenic,schizophrenia
sclerosis,sclerosis
selection,selection
selective,selection
selective.attention,attention
self.referential,referential
self.report,report
semantic,semantic
semantic.memory,semantic
semantically,semantic
semantics,semantic
sensation,sensation
sensations,sensation
sensitivity,sensitivity
sensorimotor,sensorimotor
sensorimotor.network,sensorimotor
sensory,sensory
sensory.information,sensory
sentence,sentence
sentence.comprehension,sentence
sentences,sentence
separation,separation
sequence,sequence
sequences,sequence
sequential,sequence
serial,serial
sex,sex
sexual,sex
shapes,shapes
shifting,shift
sighted,sight
signal.task,signal
similarity,similarity
simulation,simulation
size,size
sizes,size
skin,skin
skin.conductance,skin
sleep,sleep
social,social
social.cognition,social
social.cognitive,social
social.interaction,social
socially,social
solving,solve
sound,sound
sounds,sound
space,spatial
spatial,spatial
spatial.attention,spatial
spatial.information,spatial
spatial.temporal,spatiotemporal
spatially,spatial
spatiotemporal,spatiotemporal
speaker,speaker
speakers,speaker
speaking,speak
spectrum,spectrum
spectrum.disorder,spectrum
speech,speech
speech.perception,speech
speech.production,speech
spoken,spoken
spontaneous,spontaneous
storage,storage
strategic,strategy
strategies,strategy
strategy,strategy
stress,stress
stress.disorder,stress
stroop,stroop
stroop.task,stroop
subsequent.memory,memory
substance,substance
subtraction,subtraction
success,success
suffering,suffer
suppressed,suppression
suppression,suppression
sustained,sustained
sustained.attention,sustained
symbolic,symbolic
syntactic,syntactic
tactile,tactile
tapping,tap
target,target
target.detection,target
targets,target
task,task
task.demands,task
task.difficulty,task
task.positive,task
task.relevant,task
tasks,task
taste,taste
thinking,think
thought,thought
thoughts,thought
time.task,task
timing,time
tone,tone
touch,touch
track,track
tracking,track
trait,trait
traits,trait
unpleasant,unpleasant
updating,update
valence,valence
value,value
values,value
verb,verb
verbal,verbal
verbal.fluency,verbal
verbal.working,verbal
verbs,verb
video,video
video.clips,video
videos,video
viewing,view
violations,violations
virtual,virtual
vision,vision
vision,visual
visual,visual
visual.attention,visual
visual.field,visual
visual.information,visual
visual.motion,visual
visual.perception,visual
visual.stimuli,visual
visual.stimulus,visual
visual.stream,visual
visual.word,visual
visually,visual
visually.presented,visual
visuo,visual
visuo.spatial,visuospatial
visuomotor,visuomotor
visuospatial,visuospatial
vocal,voice
voice,voice
watching,watch
word,word
word.form,word
word.pairs,word
word.recognition,word
words,word
working,work
working.memory,memory
written,write